Question,Answer
ධාන්‍ය  පිරවීමේ අවධියේදී ජලය කළමනාකරණය කළ යුත්තේ කෙසේද?,නිසි ධාන්‍ය පිරවීම සහතික කිරීම සහ ජල ආතතිය වළක්වා ගැනීම සඳහා ජලය මධ්යස්ථ මට්ටමක පවත්වා ගත යුතුය.
සහතික කළ වී බීජ භාවිතයේ ඇති වාසි මොනවාද?,"සහතික කළ බීජ වඩා හොඳ රෝග ප්‍රතිරෝධයක්, ඒකාකාර වර්ධනයක් සහ ඉහළ අස්වැන්නක් සහතික කරයි."
වී ගොවීන් පළිබෝධ උවදුර පාලනය කරන්නේ කෙසේද?,"ගොවීන්ට ජීව විද්‍යාත්මක පාලනය, රසායනික පාලනය සහ සංස්කෘතික භාවිතයන් ඇතුළු ඒකාබද්ධ පළිබෝධ කළමනාකරණ (IPM) උපක්‍රම භාවිතා කරමින් උවදුරු පාලනය කළ හැකිය."
වී බෝග වර්ධනයේ ප්‍රධාන අවධීන් මොනවාද?,"ප්‍රධාන අවධීන් අතරට බීජ පැළ කිරීම, වගා කිරීම, පැනල් ආරම්භය, පීදීම, ධාන්‍ය හටගැනීම ඇතුළත් වේ."
ජලයෙන් යටවීම වී වගාවන්ට බලපාන්නේ කෙසේද?,"ජලයෙන් යටවීම මුල් කුණුවීම, දුර්වල පෝෂක අවශෝෂණය සහ බෝග අස්වැන්න අඩුවීමට හේතු විය හැක."
කුඹුරු වගාවන්හි බහුලව දක්නට ලැබෙන රෝග මොනවාද?,"සහල් පිපිරවීම, කොපුව අංගමාරය සහ බැක්ටීරියා කොළ අංගමාරය වැනි පොදු රෝග ඇතුළත් වේ."
කුඹුරු වගාවන්හි රෝග මොනවාද?,"සහල් පිපිරවීම, කොපුව අංගමාරය සහ බැක්ටීරියා කොළ අංගමාරය වැනි පොදු රෝග ඇතුළත් වේ."
සිටුවීමට පෙර කුඹුරු සකස් කළ යුත්තේ කෙසේද?,"බීජ පැළ සිටුවීමට සුදුසු පරිසරයක් නිර්මාණය කිරීම සඳහා කුඹුරු සමතලා කිරීම, සීසෑම සහ ජලයෙන් යටවීම කළ යුතුය."
නියඟය වී වගාවන්ට බලපාන්නේ කෙසේද?,"නියඟය වර්ධනය අඩුවීමටත්, අස්වැන්න අඩුවීමටත්, පළිබෝධ සහ රෝගවලට ගොදුරු වීමේ හැකියාව වැඩි කිරීමටත් හේතු විය හැකිය."
කුඹුරුවල පාංශු ඛාදනය වළක්වා ගන්නේ කෙසේද?,"නිසි ජල මට්ටමක් පවත්වා ගැනීම, සමෝච්ඡ සීසෑම භාවිතා කිරීම සහ ආවරණ බෝග සිටුවීමෙන් පාංශු ඛාදනය වළක්වා ගත හැකිය."
කාබනික වී ගොවිතැනේ ප්‍රතිලාභ මොනවාද?,"කාබනික ගොවිතැන පාංශු සෞඛ්‍යය වැඩි දියුණු කරයි, රසායනික යෙදවුම් අඩු කරයි, සහ ජෛව විවිධත්වය ප්‍රවර්ධනය කරයි."
ගොවීන් වී ගොවිතැනේ පසු අස්වනු හානි අවම කර ගන්නේ කෙසේද?,"කාලෝචිත අස්වැන්න, නිසි වියළීම සහ කාර්යක්ෂම ගබඩා පිළිවෙත් මගින් පසු අස්වනු හානි අවම කර ගත හැක."
වී වගාවේ පොස්පරස් වල කාර්යභාරය කුමක්ද?,"මූල සංවර්ධනය, බලශක්ති හුවමාරුව සහ සමස්ත ශාක වර්ධනය සඳහා පොස්පරස් අත්යවශ්ය වේ."
පාරිසරික බලපෑම අවම කිරීම සඳහා පළිබෝධනාශක යෙදිය යුත්තේ කෙසේද?,"පළිබෝධනාශක නිර්දේශිත මාත්‍රාවන්, වේලාවන් සහ පාරිසරික බලපෑම අවම කිරීම සඳහා නිසි ආරක්ෂිත උපකරණ සමඟ යෙදිය යුතුය."
පසෙහි pH අගය වැඩි වීම වී වගාවට බලපාන්නේ කෙසේද?,"ඉහළ පාංශු pH අගය පෝෂක ලබා ගැනීමේ හැකියාව අඩු කරයි, ශාක වර්ධනයට බාධා කරයි, සහ සමස්ත බෝග අස්වැන්න කෙරෙහි බලපායි."
pH අගය වැඩි වීම වී වගාවට බලපාන්නේ කෙසේද?,"ඉහළ පාංශු pH අගය පෝෂක ලබා ගැනීමේ හැකියාව අඩු කරයි, ශාක වර්ධනයට බාධා කරයි, සහ සමස්ත බෝග අස්වැන්න කෙරෙහි බලපායි."
ගොවීන් කුඹුරුවල පාංශු ආම්ලිකතාවය කළමනාකරණය කරන්නේ කෙසේද?,පසෙහි ආම්ලිකතාවය පාලනය කළ හැක්කේ දෙහි යෙදීමෙන් සහ pH අගය සකස් කරන පොහොර භාවිතා කිරීමෙනි.
වියළි කාලවලදී කුඹුරුවල ජලය කළමනාකරණය කිරීම සඳහා හොඳම භාවිතයන් මොනවාද?,"හොඳම භාවිතයන් අතර කාර්යක්ෂම වාරිමාර්ග ක්‍රම භාවිතා කිරීම, වැසි ජලය ගබඩා කිරීම සහ බෝග අවශ්‍යතා මත පදනම්ව ජල යෙදුම් උපලේඛනගත කිරීම ඇතුළත් වේ."
අස්වැන්න නෙළීමට පෙර කුඹුරු ජලය බැස යා යුත්තේ කෙසේද?,අස්වැන්න නෙළීමට දින 10-15 කට පෙර කෙත්වල ජලාපවහනය කළ යුතු අතර ධාන්‍ය වල ගුණාත්මකභාවය වැඩි දියුණු කිරීමට සහ පාඩු අවම කර ගත යුතුය.
කුඹුරු වල වල් මර්දනයට පොදු ක්‍රම මොනවාද?,"පොදු ක්‍රම අතර අතින් වල් නෙලීම, වල් නාශක භාවිතා කිරීම සහ වල් පැලෑටි වර්ධනය මැඩපැවැත්වීම සඳහා නිසි ජල මට්ටමක් පවත්වා ගැනීම ඇතුළත් වේ."
කුඹුරුවල පාංශු ව්‍යුහය වැඩි දියුණු කරන්නේ කෙසේද?,"කාබනික ද්‍රව්‍ය එකතු කිරීම, සංරක්ෂණය කිරීම සහ නිසි ජල කළමනාකරණයක් සහතික කිරීම මගින් පාංශු ව්‍යුහය වැඩිදියුණු කළ හැක."
වී ගොවිතැනේදී යාන්ත්‍රික අස්වනු නෙළන යන්ත්‍ර භාවිතා කිරීමේ වාසි මොනවාද?,"යාන්ත්‍රික අස්වනු නෙළන යන්ත්‍ර මගින් කාර්යක්ෂමතාව වැඩි කරයි, ශ්‍රම පිරිවැය අඩු කරයි, අස්වැන්න නෙලීමේදී ධාන්‍ය අලාභය අවම කරයි."
ගොවීන් කුඹුරුවල නයිට්‍රජන් මට්ටම කළමනාකරණය කරන්නේ කෙසේද?,"පාංශු පරීක්ෂණ භාවිතා කිරීමෙන්, බෝග අවශ්‍යතා අනුව පොහොර යෙදීමෙන් සහ නයිට්‍රජන් සවිකරන භෝග භාවිතා කිරීමෙන් නයිට්‍රජන් මට්ටම පාලනය කළ හැක."
වී ගොවිතැනේදී බෝග මාරුවෙන් ලැබෙන ප්‍රයෝජන මොනවාද?,"බෝග මාරුව / විවිධ භෝග අනුපිළිවෙලින් සිටුවීම පාංශු සෞඛ්‍යය වැඩි දියුණු කිරීමට උපකාරී වේ, පළිබෝධ සහ රෝග පීඩනය අඩු කරයි, සහ පෝෂක චක්‍රය වැඩි දියුණු කරයි."
ගොවීන් කුඹුරුවල පෝෂක ගලායාම වළක්වා ගන්නේ කෙසේද?,"ස්වාරක්ෂක තීරු / බෆර් තීරු භාවිතා කිරීම, නියමිත වේලාවට පොහොර යෙදීම සහ නිසි ජල මට්ටම් පවත්වා ගැනීම මගින් පෝෂක ගලා යාම වළක්වා ගත හැකිය."
විවිධ පාංශු වර්ගවල සහල් සිටුවීම සඳහා නිර්දේශිත පිළිවෙත් මොනවාද?,"රෝපණ පිළිවෙත් පස වර්ගය අනුව වෙනස් වේ, නමුත් සාමාන්‍යයෙන් නිසි ක්ෂේත්‍ර මට්ටම් කිරීම, ජල කළමනාකරණය සහ සුදුසු බීජ පැල පරතරය ඇතුළත් වේ."
ගොවීන් අස්වනු නෙළන ලද වී වල ගුණාත්මක භාවය වැඩි දියුණු කරන්නේ කෙසේද?,"නිසි අස්වැන්න නෙළන කාලය, හොඳින් වියළීම සහ පිරිසිදු ගබඩා පිළිවෙත් මගින් ගුණාත්මකභාවය වැඩි දියුණු කළ හැකිය."
වී ගොවිතැනේදී පොටෑසියම් වල කාර්යභාරය කුමක්ද?,"පොටෑසියම් ශාක පරිවෘත්තිය, ජල නියාමනය සහ රෝග ප්‍රතිරෝධය සඳහා වැදගත් වේ."
වී ගොවීන් පාංශු තදවීම කළමනාකරණය කරන්නේ කෙසේද?,"අධික ලෙස වගා කිරීමෙන් වැළකීම, නිසි යන්ත්‍ර සූත්‍ර භාවිතා කිරීම සහ කාබනික ද්‍රව්‍ය ඇතුළත් කිරීමෙන් පාංශු සංකෝචනය කළමනාකරණය කළ හැක."
වී වර්ග තෝරා ගැනීමේදී මූලික වශයෙන් සලකා බැලිය යුතු කරුණු මොනවාද?,"ප්‍රධාන සලකා බැලීම්වලට දේශගුණික යෝග්‍යතාවය, රෝග ප්‍රතිරෝධය, අස්වැන්න විභවය සහ ධාන්‍යවල ගුණාත්මකභාවය ඇතුළත් වේ."
ගොවීන් සහල් කොළ ෆෝල්ඩර පළිබෝධ පාලනය කරන්නේ කෙසේද?,"පාලන ක්‍රම අතරට කෘමිනාශක භාවිතය, භෝග මාරුව ප්‍රගුණ කිරීම සහ ස්වභාවික විලෝපිකයන් ප්‍රවර්ධනය කිරීම ඇතුළත් වේ."
වී ගොවිතැනේදී ඒකාබද්ධ පළිබෝධ කළමනාකරණය (IPM) භාවිතා කිරීමේ ප්‍රතිලාභ මොනවාද?,"IPM පළිබෝධනාශක භාවිතය අඩු කරයි, පාරිසරික බලපෑම අඩු කරයි, සහ දිගු කාලීන පළිබෝධ පාලනය වැඩි දියුණු කරයි."
ගොවීන් ගොයම් කපන අවධියේදී ජල මට්ටම කළමනාකරණය කළ යුත්තේ කෙසේද?,සෞඛ්‍ය සම්පන්නව වගා කිරීමට සහ ජල ආතතිය වළක්වා ගැනීමට ජල මට්ටම් පවත්වා ගත යුතුය.
වී වගාවේ රෝග ලක්ෂණ මොනවාද?,"රෝග ලක්ෂණ අතර දුර්වර්ණ වූ කොළ, ලප සහ වර්ධනය අඩාල වීම ඇතුළත් වේ."
ගොවීන්ට කුඹුරුවල ජල කාර්යක්ෂමතාව වැඩි දියුණු කළ හැක්කේ කෙසේද?,"ජල සුරැකීමේ තාක්ෂණයන් භාවිතා කිරීම, වාරිමාර්ග කාලසටහන් කළමනාකරණය කිරීම සහ වාෂ්පීකරණ පාඩු අවම කිරීම මගින් ජල කාර්යක්ෂමතාව වැඩි දියුණු කළ හැකිය."
කුඹුරු වල කඳ විදින උවදුරු මර්දනය සඳහා නිර්දේශිත ක්‍රම මොනවාද?,"නිර්දේශිත ක්‍රම අතරට ප්‍රතිරෝධී ප්‍රභේද භාවිතා කිරීම, කෘමිනාශක යෙදීම සහ නිසි ක්ෂේත්‍ර කළමනාකරණයක් සිදු කිරීම ඇතුළත් වේ."
ගොවීන් කුඹුරුවල පාංශු ඛාදනය කළමනාකරණය කරන්නේ කෙසේද?,"ඛාදනය පාලන ක්‍රම භාවිතා කිරීම, වෘක්ෂලතා ආවරණය පවත්වා ගැනීම සහ සංරක්ෂණ වගාව ප්‍රගුණ කිරීම මගින් පාංශු ඛාදනය කළමනාකරණය කළ හැකිය."
වී ධාන්‍ය වියළීම සඳහා හොඳම පිළිවෙත් මොනවාද?,"හොඳින් වාතාශ්‍රය ඇති ප්‍රදේශයක ධාන්‍ය වියළීම, තිබේ නම් යාන්ත්‍රික වියළන යන්ත්‍ර භාවිතා කිරීම සහ ඒකාකාර වියළීම සහතික කිරීම හොඳම භාවිතයන් වේ."
අස්වනු නෙළන ලද ධාන්‍ය නරක් වීම වැළැක්වීම සඳහා වී ගොවීන් හැසිරවිය යුත්තේ කෙසේද?,ධාන්‍ය පිරිසිදු වියළි බහාලුම්වල ගබඩා කර සිසිල් පරිසරයක තබා පළිබෝධ සහ තෙතමනය සඳහා නිරීක්ෂණය කළ යුතුය.
වී අස්වැන්න කෙරෙහි බලපාන ප්‍රධාන සාධක මොනවාද?,"පාංශු සාරවත් බව, ජල කළමනාකරණය, පළිබෝධ පාලනය සහ බෝග විවිධත්වය යන සාධක ඇතුළත් වේ."
වී ගොවීන්ට පාංශු සෞඛ්‍යය වැඩි දියුණු කළ හැක්කේ කෙසේද?,"කාබනික ද්‍රව්‍ය එකතු කිරීම, බෝග මාරු කිරීම සහ නිසි ජල මට්ටම් පවත්වා ගැනීම මගින් පාංශු සෞඛ්‍යය වැඩි දියුණු කළ හැකිය."
සහල් කොපුව අංගමාරය පාලනය කිරීමට ඇති පොදු ක්‍රම මොනවාද?,"පාලන ක්‍රම අතරට ප්‍රතිරෝධී ප්‍රභේද භාවිතා කිරීම, දිලීර නාශක යෙදීම සහ නිසි ක්ෂේත්‍ර කළමනාකරණයක් පවත්වා ගැනීම ඇතුළත් වේ."
ගොවීන් විශාල කුඹුරුවල ජලය බෙදා හැරීම කළමනාකරණය කරන්නේ කෙසේද?,"වාරිමාර්ග පද්ධති, නිසි ක්‍ෂේත්‍ර මට්ටම් කිරීම සහ නිරන්තර අධීක්ෂණය භාවිතයෙන් ජලය බෙදා හැරීම කළමනාකරණය කළ හැක."
වී ගොවිතැනේදී කාබනික පොහොර යෙදීමෙන් ලැබෙන ප්‍රයෝජන මොනවාද?,"කාබනික පොහොර පාංශු ව්‍යුහය වැඩි දියුණු කරයි, ක්ෂුද්‍රජීවී ක්‍රියාකාරිත්වය වැඩි කරයි, සහ රසායනික යෙදවුම් අඩු කරයි."
වර්ෂා කාලය සඳහා ගොවීන් කුඹුරු සකස් කළ යුත්තේ කෙසේද?,"කෙත්වතු සමතලා කර, නිසි ජලාපවහනය සඳහා පරීක්ෂා කර, ඵලදායී ජල කළමනාකරණයක් සඳහා සූදානම් කළ යුතුය."
වී වගාවකට ජල පීඩනයක් ඇති වීමේ ලක්ෂණ මොනවාද?,"කොළ මැලවීම, වර්ධනය අඩුවීම සහ ධාන්‍ය වර්ධනය දුර්වල වීම වැනි රෝග ලක්ෂණ ඇතුළත් වේ."
වී වගාවකට ජල පීඩනයක් ඇති වීමේ ලක්ෂණ ,"කොළ මැලවීම, වර්ධනය අඩුවීම සහ ධාන්‍ය වර්ධනය දුර්වල වීම වැනි රෝග ලක්ෂණ ඇතුළත් වේ."
ජල පීඩනයක් ඇති වීමේ ලක්ෂණ ,"කොළ මැලවීම, වර්ධනය අඩුවීම සහ ධාන්‍ය වර්ධනය දුර්වල වීම වැනි රෝග ලක්ෂණ ඇතුළත් වේ."
වී ගොවීන් පාංශු හායනය/ ඛාදනය වළක්වා ගන්නේ කෙසේද?,නිසි ජල කළමනාකරණය සහ පාංශු සංරක්ෂණය ඇතුළු තිරසාර ගොවිතැන් ක්‍රම අනුගමනය කිරීමෙන් පාංශු හායනය වළක්වා ගත හැකිය.
වී ගොවිතැනේදී කැල්සියම් වල කාර්යභාරය කුමක්ද?,"සෛල බිත්ති ව්‍යුහය, මූල සංවර්ධනය සහ සමස්ත ශාක සෞඛ්‍යය සඳහා කැල්සියම් වැදගත් වේ."
ගොවීන් සහල් වැවිලි පළිබෝධ පාලනය කරන්නේ කෙසේද?,"පාලන ක්‍රම අතරට කෘමිනාශක භාවිතා කිරීම, ස්වභාවික විලෝපිකයින් ප්‍රවර්ධනය කිරීම සහ නිසි ක්ෂේත්‍ර කළමනාකරණය ප්‍රගුණ කිරීම ඇතුළත් වේ."
වී ගොවිතැනේදී බිංදු ජල සම්පාදනය භාවිතා කිරීමේ වාසි මොනවාද?,"බිංදු ජල සම්පාදනය ජල පරිභෝජනය අඩු කරයි, වල් පැලෑටි වර්ධනය අවම කරයි, සහ ශාක සඳහා කාර්යක්ෂම ජලය සැපයීම සහතික කරයි."
ගොවීන් කුඹුරුවල පාංශු තෙතමන මට්ටම කළමනාකරණය කරන්නේ කෙසේද?,"පාංශු තෙතමන මට්ටම නිසි වාරිමාර්ග ක්‍රම භාවිතා කිරීමෙන්, පාංශු තත්ත්වයන් නිරීක්ෂණය කිරීමෙන් සහ ජල යෙදුම් ගැලපීම මගින් කළමනාකරණය කළ හැක."
වී වල ධාන්‍ය ගුණාත්මක බවින් අඩු වීමට පොදු හේතු මොනවාද?,"නුසුදුසු වියළීම, පළිබෝධ හානි සහ රෝග ආසාදනවලට පොදු හේතු ඇතුළත් වේ."
වී ගොවීන් පාංශු ලවණතාව වැළැක්වීම සහ කළමනාකරණය කරන්නේ කෙසේද?,"ජලාපවහනය වැඩිදියුණු කිරීම, ලුණු වලට ඔරොත්තු දෙන ප්‍රභේද භාවිතා කිරීම සහ පාංශු සංශෝධන යෙදීම මගින් පසෙහි ලවණතාව කළමනාකරණය කළ හැකිය."
කුඹුරු පැළ සිටුවීමේ හොඳම පිළිවෙත් මොනවාද?,"හොඳම භාවිතයන් අතර නිරෝගී බීජ පැල තෝරා ගැනීම, නිවැරදි ගැඹුරේ සිටුවීම සහ නිසි පරතරයක් පවත්වා ගැනීම ඇතුළත් වේ."
සහල් ටුන්ග්‍රෝ වෛරස් අවදානම ගොවීන්ට කළමනාකරණය කළ හැක්කේ කෙසේද?,"ප්‍රතිරෝධී ප්‍රභේද භාවිතා කිරීමෙන්, දෛශික ගහනය පාලනය කිරීමෙන් සහ නිසි ක්ෂේත්‍ර කළමනාකරණයක් ප්‍රගුණ කිරීමෙන් අවදානම කළමනාකරණය කළ හැක."
වී අස්වනු නෙලීමේදී ප්‍රධාන වශයෙන් සලකා බැලිය යුතු කරුණු මොනවාද?,"ධාන්‍ය අලාභය අවම කිරීම සඳහා කාලය, තෙතමන අන්තර්ගතය සහ නිසි ලෙස හැසිරවීම ප්‍රධාන සලකා බැලීම් වේ."
පළිබෝධ සහ රෝග සඳහා කුඹුරු නිරීක්ෂණය කළ යුත්තේ කෙසේද?,පළිබෝධ සහ රෝග පිළිබඳ සලකුණු සඳහා ක්ෂේත්‍ර නිතිපතා පරීක්ෂා කළ යුතු අතර අවශ්‍ය පරිදි සුදුසු පාලන ක්‍රම යෙදිය යුතුය.
වී ගොවිතැනේදී කොළ පොහොර යෙදීමෙන් ලැබෙන ප්‍රයෝජන මොනවාද?,"හරිත පොහොර පාංශු සාරවත් බව වැඩි දියුණු කරයි, කාබනික ද්රව්ය අන්තර්ගතය වැඩි දියුණු කරයි, සහ කෘතිම පොහොර සඳහා අවශ්යතාවය අඩු කරයි."
වී වගාවේ මුල් වර්ධන අවධියේදී ගොවීන් ජල මට්ටම කළමනාකරණය කරන්නේ කෙසේද?,බීජ පැල පිහිටුවීමට සහ මුල් වර්ධනයට ආධාර කිරීම සඳහා ජල මට්ටම් නොගැඹුරු ගැඹුරක පවත්වා ගත යුතුය.
සහල් වල් පැලෑටි ගැටළු පාලනය කිරීම සඳහා පොදු ක්රම මොනවාද?,"වල් නාශක භාවිතය, අතින් වල් නෙලීම සහ නිසි ජල මට්ටම් පවත්වා ගැනීම වැනි පොදු ක්‍රම ඇතුළත් වේ."
ගොවීන්ට කුඹුරු වාරිමාර්ගවල කාර්යක්ෂමතාව වැඩි දියුණු කළ හැක්කේ කෙසේද?,"නවීන වාරි තාක්ෂණය භාවිතා කිරීම, ජල භාවිතය ප්‍රශස්ත කිරීම සහ නිසි ක්ෂේත්‍ර සැලසුම් කිරීම සහතික කිරීම මගින් කාර්යක්ෂමතාව වැඩි දියුණු කළ හැකිය."
අධික ලෙස පොහොර යෙදීමෙන් වී වගාවන්ට සිදුවන බලපෑම් මොනවාද?,"අධික පොහොර යෙදීමෙන් පෝෂක අසමතුලිතතාවය, බෝගයේ ගුණාත්මක භාවය අඩුවීම සහ පරිසර දූෂණය ඇති විය හැක."
වී ගොවීන් පාංශු ඛාදනය වීමේ අවදානම කළමනාකරණය කරන්නේ කෙසේද?,"ඛාදනය පාලන පිළිවෙත් භාවිතා කිරීම, වෘක්ෂලතා ආවරණය පවත්වා ගැනීම සහ අධික ලෙස වගා කිරීම වැළැක්වීම මගින් පාංශු ඛාදනය කළමනාකරණය කළ හැකිය."
අස්වනු නෙළන ලද වී ගබඩා කිරීම සඳහා නිර්දේශිත පිළිවෙත් මොනවාද?,"පිරිසිදු, වියලි ගබඩා පහසුකම් භාවිතා කිරීම, ධාන්‍ය සිසිල් පරිසරයක තබා ගැනීම සහ පළිබෝධ සහ තෙතමනය නිරීක්ෂණය කිරීම භාවිතයන් වේ."
අස්වනු නෙලීමෙන් පසු වී ගබඩා කරන්නේ කෙසේද?,"පිරිසිදු, වියලි ගබඩා පහසුකම් භාවිතා කිරීම, ධාන්‍ය සිසිල් පරිසරයක තබා ගැනීම සහ පළිබෝධ සහ තෙතමනය නිරීක්ෂණය කිරීම භාවිතයන් වේ."
ගොවීන් කුඹුරුවල පෝෂක කාන්දු වීම වළක්වා ගන්නේ කෙසේද?,"සුදුසු ප්‍රමාණවලින් පොහොර යෙදීමෙන්, සෙමින් මුදාහරින සූත්‍ර භාවිතා කිරීමෙන් සහ නිසි ජල කළමනාකරණයක් පවත්වා ගැනීමෙන් පෝෂක කාන්දු වීම වැළැක්විය හැකිය."
කුඹුරු මට්ටම් කරන යන්ත්‍රයක් භාවිතා කිරීමෙන් ලැබෙන ප්‍රයෝජන මොනවාද?,"ප්‍රතිලාභ අතර ජල බෙදා හැරීම වැඩිදියුණු කිරීම, ජලය බැසයාම අඩුවීම සහ හොඳ බෝග වර්ධනය ඇතුළත් වේ."
වී වගාවන්ට අධික උෂ්ණත්වයේ බලපෑම ගොවීන් කළමනාකරණය කරන්නේ කෙසේද?,"ප්‍රමාණවත් ජල සැපයුමක් සහතික කිරීම, තාපයට ඔරොත්තු දෙන ප්‍රභේද භාවිතා කිරීම සහ අවශ්‍ය නම් සෙවන සැපයීම මගින් ගොවීන්ට ඉහළ උෂ්ණත්වයන් කළමනාකරණය කළ හැකිය."
කුඹුරු ජලාපවහනය කළමනාකරණය සඳහා හොඳම භාවිතයන් මොනවාද?,"හොඳම භාවිතයන් අතර ඵලදායී ජලාපවහන පද්ධති සැලසුම් කිරීම, නිසි ක්ෂේත්‍ර මට්ටම් පවත්වා ගැනීම සහ ජලයෙන් යටවීම වැළැක්වීම ඇතුළත් වේ."
වී ගොවීන්ට අයහපත් කාලගුණික තත්ත්වයන්ට ඔරොත්තු දීමේ හැකියාව වැඩිදියුණු කළ හැක්කේ කෙසේද?,"සුදුසු ප්‍රභේද තෝරා ගැනීම, නිසි ජල කළමනාකරණයක් ප්‍රගුණ කිරීම සහ ආරක්ෂිත ක්‍රම භාවිතා කිරීම මගින් ඔරොත්තු දීමේ හැකියාව වැඩි දියුණු කළ හැකිය."
වී භෝග සඳහා පොදු පසු අස්වනු පිළිවෙත් මොනවාද?,"ධාන්‍ය නිසි ලෙස වියළීම, පිරිසිදු කිරීම, ඇඹරීම සහ ගබඩා කිරීම සාමාන්‍ය භාවිතයන් වේ."
කුඹුරුවල දිලීර රෝග ඇතිවීමේ අවදානම ගොවීන් කළමනාකරණය කරන්නේ කෙසේද?,"ප්‍රතිරෝධී ප්‍රභේද භාවිතා කිරීමෙන්, දිලීර නාශක යෙදීමෙන් සහ නිසි ක්ෂේත්‍ර කළමනාකරණයක් ප්‍රගුණ කිරීමෙන් අවදානම කළමනාකරණය කළ හැකිය."
විවිධ දේශගුණික තත්ත්වයන් සඳහා සුදුසු වී වර්ග තෝරා ගැනීමට ප්‍රධාන සාධක මොනවාද?,"ප්‍රධාන සාධක වන්නේ උෂ්ණත්වයට ඔරොත්තු දීම, වර්ෂාපතන රටා සහ ප්‍රාදේශීය පාංශු තත්ත්වයන් ය."
බෑවුම් සහිත කුඹුරුවල පාංශු ඛාදනය වැළැක්වීම සහ පාලනය කිරීම ගොවීන් කරන්නේ කෙසේද?,"වැලැක්වීමේ ක්‍රමවලට ටෙරස් භාවිතා කිරීම, බිම් ආවරණය පවත්වා ගැනීම සහ පාංශු සංරක්ෂණ පිළිවෙත් යෙදීම ඇතුළත් වේ."
